date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:48	396/396	---M-Z	200	added ('OK')	text/plain	etag:%22a0e1d26-34a-52fcbbf8b5780-gzip%22	http://bravobitescatering.com/robots.txt		(from )
17:28:50	24482/24482	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jun%202023%2021:28:50%20GMT	http://bravobitescatering.com/	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/index.html	(from )
17:28:50	3279/3279	---M--	200	added ('OK')	image/x-icon	etag:%22a1417df-ccf-5aa80ca0a70cc%22	http://bravobitescatering.com/templates/blue_design_ii/favicon.ico	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/templates/blue_design_ii/favicon.ico	(from http://bravobitescatering.com/)
17:28:50	232766/232766	---M-Z	200	added ('OK')	text/css	etag:%22a140015-38d3e-5fd6896a3438a-gzip%22	http://bravobitescatering.com/cache/helix_assets/63922eeaafad39d59d56ca0d38a6dafb.css	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/cache/helix_assets/63922eeaafad39d59d56ca0d38a6dafb.css	(from http://bravobitescatering.com/)
17:28:51	0/0	---M--	200	added ('OK')	text/css	etag:%22a1417d0-0-5aa80ca0e7427%22	http://bravobitescatering.com/templates/blue_design_ii/css/custom.css	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/templates/blue_design_ii/css/custom.2.delayed	(from http://bravobitescatering.com/)
17:28:52	772/772	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jun%202023%2021:28:50%20GMT	http://bravobitescatering.com/?format=feed&type=rss	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/indexc0d0.html	(from http://bravobitescatering.com/)
17:28:52	804/804	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2005%20Jun%202023%2021:28:51%20GMT	http://bravobitescatering.com/?format=feed&type=atom	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/index7b17.html	(from http://bravobitescatering.com/)
17:28:52	1958/1958	---M-Z	200	added ('OK')	text/css	etag:%22a1417d2-7a6-5aa80ca0ed1e7-gzip%22	http://bravobitescatering.com/templates/blue_design_ii/css/gallery.css	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/templates/blue_design_ii/css/gallery.css	(from http://bravobitescatering.com/)
17:28:52	33785/33785	---M-Z	200	added ('OK')	text/css	etag:%22a141431-83f9-5aa80c9e427ee-gzip%22	http://bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/camera.css	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/camera.css	(from http://bravobitescatering.com/)
17:28:54	17519/17519	---M-Z	200	added ('OK')	application/javascript	etag:%22a141447-446f-5aa80c9e44346-gzip%22	http://bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/jquery.mobile.customized.min.js	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/jquery.mobile.customized.min.js	(from http://bravobitescatering.com/)
17:28:54	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%22a141446-1fa1-5aa80c9e46a57-gzip%22	http://bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/jquery.easing.1.3.js	C:/My%20Web%20Sites/BravoBites/bravobitescatering.com/modules/mod_vina_camera_image_slider/assets/jquery.easing.1.3.js	(from http://bravobitescatering.com/)
